OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C28903,Sample-Routine,Water,,2010-03-04,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,118892,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Barium,Total,46.0,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C28903,Sample-Routine,Water,,2010-03-04,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,118892,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Inorganic nitrogen (nitrate and nitrite),Total,13.1,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 350.1,21OHIO_WQX,USEPA 350.1,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C28903,Sample-Routine,Water,,2010-03-04,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,118892,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Total suspended solids,Total,32.0,mg/l,,Final,,Actual,,,,,,,,,,,,,SM 2540D,21OHIO_WQX,SM 2540D,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C28903,Sample-Routine,Water,,2010-03-04,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,118892,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Strontium,Total,2030.0,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C28903,Sample-Routine,Water,,2010-03-04,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,118892,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Specific conductance,Total,807.0,mho/cm,,Final,,Actual,,,,,,,,,,,,,SM 2510B,21OHIO_WQX,SM 2510B,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C28903,Sample-Routine,Water,,2010-03-04,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,118892,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Sodium,Total,49.0,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-FM28903,Field Msr/Obs,Water,,2010-03-04,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,118892,,,,,,,,,Dissolved oxygen saturation,,107.0,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-FM28903,Field Msr/Obs,Water,,2010-03-04,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,118892,,,,,,,,,Water level reference point elevation,,3.42,ft,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-FM28903,Field Msr/Obs,Water,,2010-03-04,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,118892,,,,,,,,,pH,,7.76,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-FM28903,Field Msr/Obs,Water,,2010-03-04,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,118892,,,,,,,,,Flow,,504.0,ft3/sec,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-FM28903,Field Msr/Obs,Water,,2010-03-04,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,118892,,,,,,,,,Dissolved oxygen (DO),,15.28,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-FM28903,Field Msr/Obs,Water,,2010-03-04,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,118892,,,,,,,,,"Temperature, water",,0.76,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-FM28903,Field Msr/Obs,Water,,2010-03-04,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,118892,,,,,,,,,Specific conductance,,803.9,mho/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-FM28903,Field Msr/Obs,Water,,2010-03-04,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,118892,,,,,,,,,Specific conductance,,431.6,mho/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Selenium,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,2.0,ug/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Manganese,Total,47.0,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Phosphorus,Total,0.052,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 365.4,21OHIO_WQX,USEPA 365.4,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Specific conductance,Total,619.0,mho/cm,,Final,,Actual,,,,,,,,,,,,,SM 2510B,21OHIO_WQX,SM 2510B,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Calcium,Total,51.0,mg/l,,Final,,Actual,,,,,,,,,,,,,OEPA Method,21OHIO_WQX,OEPA Method,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Kjeldahl nitrogen,Total,0.84,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 351.2,21OHIO_WQX,USEPA 351.2,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Total dissolved solids,Total,370.0,mg/l,,Final,,Actual,,,,,,,,,,,,,SM 2540C,21OHIO_WQX,SM 2540C,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Chromium,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,2.0,ug/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,"Hardness, Ca, Mg",Total,127.0,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Orthophosphate,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,0.01,mg/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Sodium,Total,36.0,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Copper,Total,3.2,ug/l,,Final,,Actual,,,,,,,,,,,,,SM 3113B,21OHIO_WQX,SM 3113B,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Magnesium,Total,23.0,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Zinc,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,10.0,ug/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Lead,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,2.0,ug/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Nickel,Total,3.5,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Nitrite,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,0.02,mg/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Ammonia,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,0.05,mg/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Barium,Total,42.0,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Chloride,Total,70.3,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 325.1,21OHIO_WQX,USEPA 325.1,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Strontium,Total,2300.0,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Cadmium,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,0.2,ug/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Total suspended solids,Total,27.0,mg/l,,Final,,Actual,,,,,,,,,,,,,SM 2540D,21OHIO_WQX,SM 2540D,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Sulfate,Total,85.7,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 375.2,21OHIO_WQX,USEPA 375.2,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Inorganic nitrogen (nitrate and nitrite),Total,1.72,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 350.1,21OHIO_WQX,USEPA 350.1,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Arsenic,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,2.0,ug/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Chemical oxygen demand,Total,20.0,mg/l,,Final,,Actual,,,,,,,,,,,,,SM 5220D,21OHIO_WQX,SM 5220D,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Aluminum,Total,488.0,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Iron,Total,637.0,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Potassium,Total,3.0,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C22978,Sample-Routine,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,"Alkalinity, total",Total,109.0,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 310.1,21OHIO_WQX,USEPA 310.1,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-FM22978,Field Msr/Obs,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,,,,,,"Temperature, water",,24.72,deg C,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-FM22978,Field Msr/Obs,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,,,,,,pH,,8.25,None,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-FM22978,Field Msr/Obs,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,,,,,,Specific conductance,,626.0,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-FM22978,Field Msr/Obs,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,,,,,,Dissolved oxygen (DO),,6.53,mg/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-FM22978,Field Msr/Obs,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,,,,,,Flow,,71.0,ft3/sec,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-FM22978,Field Msr/Obs,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,,,,,,Specific conductance,,622.0,uS/cm,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-FM22978,Field Msr/Obs,Water,,2010-06-24,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,121472,,,,,,,,,Dissolved oxygen saturation,,78.7,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C25716,Sample-Routine,Water,,2010-09-01,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,125125,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Barium,Total,60.0,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C25716,Sample-Routine,Water,,2010-09-01,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,125125,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Chloride,Total,120.0,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 325.1,21OHIO_WQX,USEPA 325.1,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C25716,Sample-Routine,Water,,2010-09-01,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,125125,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Kjeldahl nitrogen,Total,1.2,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 351.2,21OHIO_WQX,USEPA 351.2,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C25716,Sample-Routine,Water,,2010-09-01,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,125125,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Aluminum,Total,489.0,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C25716,Sample-Routine,Water,,2010-09-01,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,125125,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,"Hardness, Ca, Mg",Total,239.0,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C25716,Sample-Routine,Water,,2010-09-01,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,125125,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Nickel,Total,4.6,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C25716,Sample-Routine,Water,,2010-09-01,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,125125,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Sulfate,Total,110.0,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 375.2,21OHIO_WQX,USEPA 375.2,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C25716,Sample-Routine,Water,,2010-09-01,,,,,,,,,,,,,1385,Ohio EPA,21OHIO_WQX-S02P08,125125,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Selenium,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,2.0,ug/l,,STORET
