,Year,Month,Day,Inflow volume [m3 d-1],Inflow temperature [°C],*Suspended sediment concentration [mg m-3],"*Orthophosphate, water, filtered, as phosphorus [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Phosphorus, water, filtered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as PO4 [mg m-3]",Inflow concentration of chlorophyll-a (Chla-P) [mg m-3],Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3],Inflow concentration of O2 [mg m-3],Inflow concentration of NO3 [mg m-3],Inflow concentration of NH4 [mg m-3],Inflow concentration of SO4 [mg m-3],Inflow concentration of aqueous iron (Fe2+) [mg m-3],Inflow concentration of Ca2+ [mg m-3],Inflow pH [-],Inflow concentration of CH4 [mg m-3],Inflow concentration of total solid iron (Fe3+) [mg m-3],Inflow concentration of aluminum (Al3+) [mg m-3],Inflow concentration of dissolved silica [mg m-3],"*Iron, suspended sediment, recoverable [mg m-3]","*Iron, water, unfiltered, recoverable [mg m-3]","*Iron, water, filtered [mg m-3]","*Suspended solids, water, unfiltered [mg m-3]"
1992-03-15,1992,3,15,14495960.11,9.59433962264151,126000.0,36.60377358490566,230.22222221666667,55.471698113207545,112.58490566037736,,,,11886.792452830188,,71.22641509433963,80660.37735849057,,83320.75471698113,8.466037735849056,,,10.0,5841.509433962264,,,4.566037735849057,
1992-03-16,1992,3,16,10618137.87,9.768867924528301,85000.0,36.320754716981135,217.0,55.094339622641506,111.71698113207547,,,,11877.358490566037,,70.74528301886792,80632.07547169812,,83264.15094339622,8.46320754716981,,,10.0,5828.301886792453,,,4.613207547169812,
1992-03-17,1992,3,17,8624178.8,9.943396226415095,57000.0,36.0377358490566,190.0,54.716981132075475,110.84905660377359,,,,11867.924528301886,,70.26415094339623,80603.77358490566,,83207.54716981133,8.460377358490566,,,10.0,5815.094339622641,,,4.660377358490566,
1992-03-18,1992,3,18,8306123.978999999,10.117924528301886,45000.0,35.75471698113208,188.0,54.339622641509436,109.98113207547169,,,,11858.490566037735,,69.78301886792453,80575.47169811321,,83150.94339622642,8.45754716981132,,,10.0,5801.88679245283,,,4.7075471698113205,
1992-03-19,1992,3,19,9260288.442,10.29245283018868,51000.0,35.471698113207545,160.0,53.9622641509434,109.11320754716981,,,,11849.056603773584,,69.30188679245283,80547.16981132075,,83094.3396226415,8.454716981132075,,,10.0,5788.679245283019,,,4.754716981132075,
1992-03-20,1992,3,20,18092426.17,10.466981132075471,64000.0,35.18867924528302,192.0,53.58490566037736,108.24528301886792,,,,11839.622641509433,,68.82075471698113,80518.8679245283,,83037.7358490566,8.45188679245283,,,10.0,5775.471698113208,,,4.80188679245283,
1992-03-21,1992,3,21,29848221.66,10.641509433962264,74000.0,34.90566037735849,230.0,53.20754716981132,107.37735849056604,,,,11830.188679245282,,68.33962264150944,80490.56603773584,,82981.1320754717,8.449056603773585,,,10.0,5762.264150943396,,,4.849056603773585,
1992-03-22,1992,3,22,30582194.33,10.816037735849056,157000.0,34.62264150943396,254.0,52.83018867924528,106.50943396226415,,,,11820.754716981131,,67.85849056603773,80462.2641509434,,82924.52830188679,8.446226415094339,,,10.0,5749.056603773585,,,4.89622641509434,
1992-03-23,1992,3,23,34741372.76,10.99056603773585,188000.0,34.339622641509436,323.0,52.45283018867924,105.64150943396226,,,,11811.32075471698,,67.37735849056604,80433.96226415095,,82867.92452830188,8.443396226415095,,,10.0,5735.8490566037735,,,4.943396226415095,
1992-03-24,1992,3,24,31438495.77,11.165094339622641,226000.0,34.056603773584904,501.5,52.075471698113205,104.77358490566039,,,,11801.88679245283,,66.89622641509433,80405.6603773585,,82811.32075471699,8.440566037735849,,,10.0,5722.641509433963,,,4.990566037735849,
1992-03-25,1992,3,25,25481084.31,11.339622641509434,203000.0,33.77358490566038,310.0,51.698113207547166,103.90566037735849,,,,11792.452830188678,,66.41509433962264,80377.35849056604,,82754.71698113208,8.437735849056603,,,10.0,5709.433962264151,,,5.037735849056604,
1992-03-26,1992,3,26,22691988.19,11.514150943396226,141000.0,33.490566037735846,259.0,51.32075471698113,103.0377358490566,,,,11783.018867924528,,65.93396226415095,80349.05660377358,,82698.11320754717,8.434905660377359,,,10.0,5696.226415094339,,,5.084905660377359,
1992-03-27,1992,3,27,21383070.27,11.68867924528302,112000.0,33.20754716981132,235.0,50.94339622641509,102.16981132075472,,,,11773.584905660377,,65.45283018867924,80320.75471698113,,82641.50943396226,8.432075471698113,,,10.0,5683.018867924528,,,5.132075471698114,
1992-03-28,1992,3,28,20098618.11,11.86320754716981,106000.0,32.924528301886795,211.0,50.56603773584906,101.30188679245283,,,,11764.150943396226,,64.97169811320755,80292.45283018867,,82584.90566037736,8.429245283018867,,,10.0,5669.811320754717,,,5.179245283018868,
1992-03-29,1992,3,29,17798837.1,12.037735849056602,79000.0,32.64150943396226,196.0,50.18867924528302,100.43396226415095,,,,11754.716981132075,,64.49056603773585,80264.15094339622,,82528.30188679245,8.426415094339623,,,10.0,5656.603773584906,,,5.226415094339623,
1992-03-30,1992,3,30,16379823.28,12.212264150943396,72000.0,32.35849056603774,167.0,49.81132075471698,99.56603773584905,,,,11745.283018867925,,64.00943396226415,80235.84905660378,,82471.69811320755,8.423584905660377,,,10.0,5643.396226415094,,,5.273584905660377,
1992-03-31,1992,3,31,15951672.56,12.38679245283019,62000.0,32.075471698113205,181.0,49.43396226415094,98.69811320754717,,,,11735.849056603774,,63.52830188679245,80207.54716981133,,82415.09433962264,8.420754716981133,,,10.0,5630.188679245283,,,5.320754716981132,
1992-04-01,1992,4,1,15976138.32,12.56132075471698,58000.0,31.79245283018868,143.0,49.056603773584904,97.83018867924528,,,,11726.415094339623,,63.04716981132076,80179.24528301887,,82358.49056603774,8.417924528301887,,,10.0,5616.981132075472,,,5.367924528301887,
1992-04-02,1992,4,2,16379823.28,12.735849056603772,54000.0,31.50943396226415,153.0,48.679245283018865,96.9622641509434,,,,11716.981132075472,,62.56603773584906,80150.94339622642,,82301.88679245283,8.415094339622641,,,10.0,5603.773584905661,,,5.415094339622642,
1992-04-03,1992,4,3,15340028.68,12.910377358490566,46000.0,31.22641509433962,127.0,48.301886792452834,96.09433962264151,,,,11707.547169811322,,62.08490566037736,80122.64150943396,,82245.28301886792,8.412264150943397,,,10.0,5590.566037735849,,,5.462264150943396,
1992-04-04,1992,4,4,13321603.85,13.084905660377359,40000.0,30.943396226415096,120.0,47.924528301886795,95.22641509433961,,,,11698.11320754717,,61.60377358490566,80094.3396226415,,82188.67924528301,8.409433962264151,,,10.0,5577.358490566037,,,5.509433962264151,
1992-04-05,1992,4,5,11009589.96,13.25943396226415,39000.0,30.660377358490564,118.0,47.54716981132076,94.35849056603773,,,,11688.67924528302,,61.12264150943396,80066.03773584905,,82132.07547169812,8.406603773584905,,,10.0,5564.1509433962265,,,5.556603773584905,
1992-04-06,1992,4,6,8807671.966,13.433962264150942,38000.0,30.37735849056604,114.5,47.16981132075472,93.49056603773585,,,,11679.245283018869,,60.64150943396226,80037.7358490566,,82075.47169811321,8.403773584905661,,,10.0,5550.943396226415,,,5.60377358490566,
1992-04-07,1992,4,7,7572151.315,13.608490566037736,43000.0,30.09433962264151,133.0,46.79245283018868,92.62264150943396,,,,11669.811320754718,,60.160377358490564,80009.43396226416,,82018.8679245283,8.400943396226415,,,10.0,5537.735849056604,,,5.650943396226415,
1992-04-08,1992,4,8,6630219.73,13.783018867924529,41000.0,29.81132075471698,136.0,46.41509433962264,91.75471698113208,,,,11660.377358490567,,59.67924528301887,79981.1320754717,,81962.2641509434,8.39811320754717,,,10.0,5524.528301886792,,,5.69811320754717,
1992-04-09,1992,4,9,6116438.865,13.95754716981132,38000.0,29.528301886792455,128.0,46.0377358490566,90.88679245283018,,,,11650.943396226416,,59.198113207547166,79952.83018867925,,81905.6603773585,8.395283018867925,,,10.0,5511.320754716981,,,5.745283018867925,
1992-04-10,1992,4,10,5810616.922,14.132075471698112,37000.0,29.245283018867923,118.0,45.660377358490564,90.01886792452831,,,,11641.509433962265,,58.716981132075475,79924.52830188679,,81849.05660377358,8.39245283018868,,,10.0,5498.11320754717,,,5.7924528301886795,
1992-04-11,1992,4,11,5932945.7,14.306603773584905,38000.0,28.962264150943398,197.0,45.283018867924525,89.15094339622641,,,,11632.075471698114,,58.23584905660377,79896.22641509434,,81792.45283018867,8.389622641509433,,,10.0,5484.905660377359,,,5.839622641509434,
1992-04-12,1992,4,12,5565959.367000001,14.481132075471699,42000.0,28.67924528301887,142.0,44.90566037735849,88.28301886792453,,,,11622.641509433963,,57.75471698113208,79867.92452830188,,81735.84905660378,8.38679245283019,,,10.0,5471.698113207547,,,5.886792452830189,
1992-04-13,1992,4,13,5957411.455,14.65566037735849,52000.0,28.39622641509434,156.5,44.52830188679245,87.41509433962264,,,,11613.207547169812,,57.27358490566038,79839.62264150943,,81679.24528301887,8.383962264150943,,,10.0,5458.490566037736,,,5.933962264150944,
1992-04-14,1992,4,14,6055274.476,14.830188679245282,51000.0,28.11320754716981,116.0,44.15094339622641,86.54716981132076,,,,11603.77358490566,,56.79245283018868,79811.32075471699,,81622.64150943396,8.381132075471697,,,10.0,5445.2830188679245,,,5.981132075471699,
1992-04-15,1992,4,15,5565959.367000001,15.004716981132075,48000.0,27.830188679245282,120.0,43.77358490566037,85.67924528301887,,,,11594.33962264151,,56.31132075471698,79783.01886792453,,81566.03773584905,8.378301886792453,,,10.0,5432.075471698114,,,6.028301886792454,
1992-04-16,1992,4,16,5847315.555,15.179245283018869,46000.0,27.547169811320757,150.0,43.39622641509434,84.81132075471697,,,,11584.905660377359,,55.83018867924528,79754.71698113208,,81509.43396226416,8.375471698113207,,,10.0,5418.867924528302,,,6.0754716981132075,
1992-04-17,1992,4,17,17199426.09,15.35377358490566,74000.0,27.264150943396224,178.0,43.0188679245283,83.9433962264151,,,,11575.471698113208,,55.34905660377358,79726.41509433962,,81452.83018867925,8.372641509433961,,,10.0,5405.66037735849,,,6.122641509433962,
1992-04-18,1992,4,18,55904251.23,15.528301886792452,475000.0,26.9811320754717,722.0,42.64150943396226,83.0754716981132,,,,11566.037735849057,,54.867924528301884,79698.11320754717,,81396.22641509434,8.369811320754717,,,10.0,5392.452830188679,,,6.169811320754717,
1992-04-19,1992,4,19,82571924.68,15.702830188679245,998000.0,26.69811320754717,580.0,42.264150943396224,82.20754716981132,,,,11556.603773584906,,54.38679245283019,79669.81132075471,,81339.62264150943,8.366981132075471,,,10.0,5379.245283018868,,,6.216981132075472,
1992-04-20,1992,4,20,73886581.49,15.877358490566037,568000.0,26.41509433962264,865.6666667000002,41.886792452830186,81.33962264150944,,,,11547.169811320755,,53.90566037735849,79641.50943396226,,81283.01886792453,8.364150943396226,,,10.0,5366.037735849057,,,6.264150943396227,
1992-04-21,1992,4,21,66791512.41,16.05188679245283,476000.0,26.132075471698116,902.3333332999998,41.509433962264154,80.47169811320754,,,,11537.735849056604,,53.424528301886795,79613.2075471698,,81226.41509433962,8.361320754716981,,,10.0,5352.830188679245,,,6.311320754716981,
1992-04-22,1992,4,22,63243977.87,16.22641509433962,493000.0,25.849056603773583,745.6666667000001,41.132075471698116,79.60377358490567,,,,11528.301886792453,,52.94339622641509,79584.90566037736,,81169.81132075471,8.358490566037736,,,10.0,5339.622641509434,,,6.3584905660377355,
1992-04-23,1992,4,23,51133428.91,16.400943396226417,436000.0,25.566037735849058,638.0,40.75471698113208,78.73584905660377,,,,11518.867924528302,,52.4622641509434,79556.60377358491,,81113.2075471698,8.35566037735849,,,10.0,5326.415094339623,,,6.40566037735849,
1992-04-24,1992,4,24,42815072.06,16.575471698113205,337000.0,25.28301886792453,578.6666667000001,40.37735849056604,77.86792452830188,,,,11509.433962264151,,51.9811320754717,79528.30188679245,,81056.60377358491,8.352830188679246,,,10.0,5313.207547169812,,,6.452830188679245,
1992-04-25,1992,4,25,37921920.96,16.75,299000.0,25.0,481.0,40.0,77.0,,,,11500.0,,51.5,79500.0,,81000.0,8.35,,,10.0,5300.0,,,6.5,
1992-04-26,1992,4,26,27866495.47,16.92452830188679,240000.0,24.716981132075475,388.0,39.62264150943396,76.1320754716981,,,,11490.566037735849,,51.0188679245283,79471.69811320755,,80943.39622641509,8.347169811320754,,,10.0,5286.792452830188,,,6.547169811320755,
1992-04-27,1992,4,27,22740919.7,17.099056603773583,155000.0,24.433962264150942,284.5,39.24528301886792,75.26415094339623,,,,11481.132075471698,,50.5377358490566,79443.39622641509,,80886.7924528302,8.34433962264151,,,10.0,5273.584905660377,,,6.59433962264151,
1992-04-28,1992,4,28,21101714.09,17.27358490566038,99000.0,24.150943396226417,295.0,38.867924528301884,74.39622641509433,,,,11471.698113207547,,50.056603773584904,79415.09433962264,,80830.18867924529,8.341509433962264,,,10.0,5260.377358490566,,,6.6415094339622645,
1992-04-29,1992,4,29,18667371.42,17.44811320754717,86000.0,23.867924528301888,223.0,38.490566037735846,73.52830188679245,,,,11462.264150943396,,49.575471698113205,79386.7924528302,,80773.58490566038,8.338679245283018,,,10.0,5247.169811320755,,,6.688679245283019,
1992-04-30,1992,4,30,15988371.2,17.62264150943396,75000.0,23.58490566037736,184.0,38.11320754716981,72.66037735849056,,,,11452.830188679245,,49.09433962264151,79358.49056603774,,80716.98113207547,8.335849056603774,,,10.0,5233.962264150943,,,6.735849056603774,
1992-05-01,1992,5,1,14385864.21,17.797169811320757,68000.0,23.30188679245283,201.0,37.73584905660377,71.79245283018868,,,,11443.396226415094,,48.61320754716981,79330.18867924529,,80660.37735849057,8.333018867924528,,,10.0,5220.754716981132,,,6.783018867924529,
1992-05-02,1992,5,2,12318507.88,17.971698113207545,63000.0,23.0188679245283,191.0,37.35849056603773,70.9245283018868,,,,11433.962264150943,,48.132075471698116,79301.88679245283,,80603.77358490566,8.330188679245282,,,10.0,5207.547169811321,,,6.830188679245284,
1992-05-03,1992,5,3,10948425.57,18.14622641509434,52000.0,22.735849056603772,175.0,36.98113207547169,70.0566037735849,,,,11424.528301886792,,47.65094339622641,79273.58490566038,,80547.16981132075,8.327358490566038,,,10.0,5194.33962264151,,,6.8773584905660385,
1992-05-04,1992,5,4,9394850.096,18.32075471698113,50000.0,22.452830188679247,163.5,36.60377358490566,69.18867924528303,,,,11415.094339622641,,47.16981132075472,79245.28301886792,,80490.56603773584,8.324528301886792,,,10.0,5181.132075471698,,,6.9245283018867925,
1992-05-05,1992,5,5,7853507.503,18.495283018867923,50000.0,22.169811320754718,159.0,36.22641509433962,68.32075471698113,,,,11405.66037735849,,46.68867924528302,79216.98113207547,,80433.96226415095,8.321698113207546,,,10.0,5167.924528301886,,,6.971698113207547,
1992-05-06,1992,5,6,6740315.629,18.669811320754718,48000.0,21.88679245283019,186.0,35.84905660377358,67.45283018867924,,,,11396.22641509434,,46.20754716981132,79188.67924528301,,80377.35849056604,8.318867924528302,,,10.0,5154.7169811320755,,,7.018867924528302,
1992-05-07,1992,5,7,6128671.743,18.844339622641506,49000.0,21.60377358490566,140.0,35.471698113207545,66.58490566037736,,,,11386.792452830188,,45.72641509433962,79160.37735849057,,80320.75471698113,8.316037735849056,,,10.0,5141.509433962265,,,7.066037735849057,
1992-05-08,1992,5,8,5125575.768999999,19.0188679245283,51000.0,21.32075471698113,150.0,35.094339622641506,65.71698113207546,,,,11377.358490566037,,45.24528301886792,79132.07547169812,,80264.15094339622,8.31320754716981,,,10.0,5128.301886792453,,,7.113207547169812,
1992-05-09,1992,5,9,4905383.97,19.193396226415093,52000.0,21.037735849056606,146.0,34.716981132075475,64.84905660377359,,,,11367.924528301886,,44.764150943396224,79103.77358490566,,80207.54716981133,8.310377358490566,,,10.0,5115.094339622641,,,7.160377358490566,
1992-05-10,1992,5,10,4783055.193,19.367924528301884,53000.0,20.754716981132077,130.0,34.339622641509436,63.9811320754717,,,,11358.490566037735,,44.283018867924525,79075.47169811321,,80150.94339622642,8.30754716981132,,,10.0,5101.88679245283,,,7.2075471698113205,
1992-05-11,1992,5,11,4660726.416,19.54245283018868,62000.0,20.471698113207548,141.0,33.9622641509434,63.11320754716981,,,,11349.056603773584,,43.80188679245283,79047.16981132075,,80094.3396226415,8.304716981132074,,,10.0,5088.679245283019,,,7.254716981132075,
1992-05-12,1992,5,12,4183644.184,19.71698113207547,40000.0,20.18867924528302,123.33333329999999,33.58490566037736,62.24528301886792,,,,11339.622641509433,,43.320754716981135,79018.8679245283,,80037.7358490566,8.30188679245283,,,10.0,5075.471698113208,,,7.30188679245283,
1992-05-13,1992,5,13,3572000.297,19.891509433962263,27000.0,19.90566037735849,109.0,33.20754716981132,61.37735849056604,,,,11330.188679245282,,42.839622641509436,78990.56603773584,,79981.1320754717,8.299056603773584,,,10.0,5062.264150943396,,,7.349056603773585,
1992-05-14,1992,5,14,3572000.297,20.066037735849058,25000.0,19.62264150943396,105.0,32.83018867924528,60.50943396226415,,,,11320.754716981131,,42.35849056603774,78962.2641509434,,79924.52830188679,8.296226415094338,,,10.0,5049.056603773585,,,7.39622641509434,
1992-05-15,1992,5,15,3559767.42,20.240566037735846,23000.0,19.339622641509436,124.0,32.45283018867924,59.64150943396226,,,,11311.32075471698,,41.87735849056604,78933.96226415095,,79867.92452830188,8.293396226415094,,,10.0,5035.8490566037735,,,7.443396226415095,
1992-05-16,1992,5,16,3302876.988,20.41509433962264,30000.0,19.056603773584907,114.0,32.075471698113205,58.77358490566037,,,,11301.88679245283,,41.39622641509434,78905.6603773585,,79811.32075471699,8.290566037735848,,,10.0,5022.641509433963,,,7.490566037735849,
1992-05-17,1992,5,17,3315109.865,20.589622641509433,26000.0,18.77358490566038,106.0,31.698113207547166,57.90566037735849,,,,11292.452830188678,,40.91509433962264,78877.35849056604,,79754.71698113208,8.287735849056602,,,10.0,5009.433962264151,,,7.537735849056604,
1992-05-18,1992,5,18,3339575.62,20.764150943396224,25000.0,18.49056603773585,143.0,31.32075471698113,57.0377358490566,,,,11283.018867924528,,40.43396226415094,78849.05660377358,,79698.11320754717,8.284905660377358,,,10.0,4996.226415094339,,,7.584905660377359,
1992-05-19,1992,5,19,4244808.572,20.93867924528302,25000.0,18.20754716981132,135.0,30.943396226415093,56.16981132075472,,,,11273.584905660377,,39.95283018867924,78820.75471698113,,79641.50943396226,8.282075471698112,,,10.0,4983.018867924528,,,7.632075471698114,
1992-05-20,1992,5,20,4575096.271000001,21.11320754716981,24000.0,17.92452830188679,107.0,30.566037735849054,55.301886792452834,,,,11264.150943396226,,39.471698113207545,78792.45283018867,,79584.90566037736,8.279245283018867,,,10.0,4969.811320754717,,,7.679245283018869,
1992-05-21,1992,5,21,4452767.494,21.287735849056602,24000.0,17.641509433962266,116.0,30.188679245283016,54.433962264150935,,,,11254.716981132075,,38.990566037735846,78764.15094339622,,79528.30188679245,8.276415094339622,,,10.0,4956.603773584906,,,7.7264150943396235,
1992-05-22,1992,5,22,3669863.3189999997,21.462264150943398,25000.0,17.358490566037737,101.0,29.81132075471698,53.56603773584905,,,,11245.283018867925,,38.509433962264154,78735.84905660378,,79471.69811320755,8.273584905660377,,,10.0,4943.396226415094,,,7.773584905660377,
1992-05-23,1992,5,23,3266178.354,21.636792452830186,25000.0,17.07547169811321,265.0,29.433962264150942,52.698113207547166,,,,11235.849056603773,,38.028301886792455,78707.54716981133,,79415.09433962264,8.27075471698113,,,10.0,4930.188679245283,,,7.820754716981132,
1992-05-24,1992,5,24,5945178.5770000005,21.81132075471698,32000.0,16.79245283018868,563.0,29.056603773584904,51.83018867924528,,,,11226.415094339623,,37.54716981132076,78679.24528301887,,79358.49056603774,8.267924528301887,,,10.0,4916.981132075472,,,7.867924528301887,
1992-05-25,1992,5,25,9786302.184,21.985849056603772,43000.0,16.50943396226415,1030.0,28.679245283018865,50.9622641509434,,,,11216.981132075472,,37.06603773584906,78650.94339622642,,79301.88679245283,8.26509433962264,,,10.0,4903.773584905661,,,7.915094339622642,
1992-05-26,1992,5,26,9345918.586000001,22.160377358490564,49000.0,16.22641509433962,1360.0,28.301886792452827,50.09433962264151,,,,11207.547169811322,,36.58490566037736,78622.64150943396,,79245.28301886792,8.262264150943397,,,10.0,4890.566037735849,,,7.962264150943397,
1992-05-27,1992,5,27,7547685.56,22.33490566037736,46000.0,15.943396226415096,1179.1666666666667,27.924528301886788,49.226415094339615,,,,11198.11320754717,,36.10377358490566,78594.3396226415,,79188.67924528301,8.25943396226415,,,10.0,4877.358490566037,,,8.00943396226415,
1992-05-28,1992,5,28,4159178.4289999995,22.50943396226415,45000.0,15.660377358490567,998.3333333333333,27.54716981132075,48.35849056603773,,,,11188.67924528302,,35.62264150943396,78566.03773584905,,79132.07547169812,8.256603773584905,,,10.0,4864.1509433962265,,,8.056603773584907,
1992-05-29,1992,5,29,3180548.21,22.683962264150942,46000.0,15.377358490566039,817.5,27.169811320754718,47.490566037735846,,,,11179.245283018869,,35.14150943396226,78537.7358490566,,79075.47169811321,8.25377358490566,,,10.0,4850.943396226416,,,8.10377358490566,
1992-05-30,1992,5,30,5358000.446,22.858490566037737,62000.0,15.09433962264151,636.6666666666666,26.79245283018868,46.62264150943396,,,,11169.811320754718,,34.660377358490564,78509.43396226416,,79018.8679245283,8.250943396226415,,,10.0,4837.735849056604,,,8.150943396226415,
1992-05-31,1992,5,31,20465604.44,23.033018867924525,123000.0,14.81132075471698,455.83333333333326,26.41509433962264,45.75471698113208,,,,11160.377358490567,,34.179245283018865,78481.1320754717,,78962.2641509434,8.248113207547169,,,10.0,4824.528301886792,,,8.19811320754717,
1992-06-01,1992,6,1,24808276.04,23.20754716981132,154000.0,14.528301886792452,275.0,26.037735849056602,44.88679245283019,,,,11150.943396226416,,33.698113207547166,78452.83018867925,,78905.6603773585,8.245283018867925,,,10.0,4811.320754716981,,,8.245283018867925,
1992-06-02,1992,6,2,19474741.35,23.382075471698112,152000.0,14.245283018867926,263.3333333,25.660377358490564,44.018867924528294,,,,11141.509433962265,,33.216981132075475,78424.52830188679,,78849.05660377358,8.242452830188679,,,10.0,4798.11320754717,,,8.29245283018868,
1992-06-03,1992,6,3,11743562.62,23.556603773584904,120000.0,13.962264150943398,249.66666669999998,25.283018867924525,43.15094339622641,,,,11132.075471698114,,32.735849056603776,78396.22641509434,,78792.45283018867,8.239622641509433,,,10.0,4784.905660377359,,,8.339622641509434,
1992-06-04,1992,6,4,8770973.332,23.7311320754717,90000.0,13.679245283018869,221.0,24.905660377358487,42.283018867924525,,,,11122.641509433963,,32.25471698113208,78367.92452830188,,78735.84905660378,8.236792452830189,,,10.0,4771.698113207547,,,8.38679245283019,
1992-06-05,1992,6,5,6336630.665,23.90566037735849,85000.0,13.39622641509434,203.0,24.52830188679245,41.41509433962264,,,,11113.207547169812,,31.77358490566038,78339.62264150943,,78679.24528301887,8.233962264150943,,,10.0,4758.490566037735,,,8.433962264150944,
1992-06-06,1992,6,6,7217397.8610000005,24.080188679245282,90000.0,13.11320754716981,240.0,24.15094339622641,40.54716981132076,,,,11103.77358490566,,31.29245283018868,78311.32075471699,,78622.64150943396,8.231132075471697,,,10.0,4745.2830188679245,,,8.481132075471699,
1992-06-07,1992,6,7,7963603.403,24.254716981132074,101000.0,12.830188679245282,237.0,23.77358490566037,39.67924528301887,,,,11094.33962264151,,30.81132075471698,78283.01886792453,,78566.03773584905,8.228301886792453,,,10.0,4732.075471698114,,,8.528301886792454,
1992-06-08,1992,6,8,7767877.359,24.429245283018865,107000.0,12.547169811320757,274.5,23.39622641509434,38.811320754716974,,,,11084.905660377359,,30.330188679245282,78254.71698113208,,78509.43396226416,8.225471698113207,,,10.0,4718.867924528302,,,8.575471698113208,
1992-06-09,1992,6,9,6740315.629,24.60377358490566,105000.0,12.264150943396228,253.0,23.0188679245283,37.94339622641509,,,,11075.471698113208,,29.849056603773583,78226.41509433962,,78452.83018867925,8.222641509433961,,,10.0,4705.66037735849,,,8.622641509433961,
1992-06-10,1992,6,10,5345767.568,24.778301886792452,75000.0,11.981132075471699,200.0,22.641509433962263,37.075471698113205,,,,11066.037735849057,,29.367924528301884,78198.11320754717,,78396.22641509434,8.219811320754717,,,10.0,4692.452830188679,,,8.669811320754718,
1992-06-11,1992,6,11,4269274.328,24.952830188679243,71000.0,11.69811320754717,182.0,22.264150943396224,36.20754716981132,,,,11056.603773584906,,28.886792452830186,78169.81132075471,,78339.62264150943,8.216981132075471,,,10.0,4679.245283018868,,,8.716981132075471,
1992-06-12,1992,6,12,3523068.7860000003,25.127358490566035,63000.0,11.415094339622641,167.0,21.886792452830186,35.339622641509436,,,,11047.169811320755,,28.405660377358487,78141.50943396226,,78283.01886792453,8.214150943396225,,,10.0,4666.037735849057,,,8.764150943396228,
1992-06-13,1992,6,13,3217246.8430000003,25.30188679245283,54000.0,11.132075471698116,146.0,21.509433962264147,34.47169811320754,,,,11037.735849056604,,27.924528301886795,78113.2075471698,,78226.41509433962,8.211320754716981,,,10.0,4652.830188679245,,,8.81132075471698,
1992-06-14,1992,6,14,2743834.475,25.47641509433962,47000.0,10.849056603773587,141.0,21.13207547169811,33.60377358490565,,,,11028.301886792453,,27.443396226415096,78084.90566037736,,78169.81132075471,8.208490566037735,,,10.0,4639.622641509434,,,8.858490566037737,
1992-06-15,1992,6,15,2379294.719,25.650943396226413,38000.0,10.566037735849058,137.0,20.75471698113207,32.73584905660377,,,,11018.867924528302,,26.962264150943398,78056.60377358491,,78113.20754716982,8.20566037735849,,,10.0,4626.415094339623,,,8.90566037735849,
1992-06-16,1992,6,16,2679000.223,25.825471698113205,41000.0,10.283018867924529,116.0,20.37735849056603,31.867924528301884,,,,11009.433962264151,,26.4811320754717,78028.30188679245,,78056.60377358491,8.202830188679245,,,10.0,4613.207547169812,,,8.952830188679247,
1992-06-17,1992,6,17,2984822.166,26.0,58000.0,10.0,113.0,20.0,31.0,,,,11000.0,,26.0,78000.0,,78000.0,8.2,,,10.0,4600.0,,,9.0,
1992-06-18,1992,6,18,7462055.415,25.905102040816328,65000.0,10.816326530612244,154.8,20.816326530612244,33.5,,,,10969.387755102041,,26.0,77479.59183673469,,77632.6530612245,8.195918367346938,,,11.83673469387755,4629.591836734694,,,11.153061224489797,
1992-06-19,1992,6,19,21309673.01,25.81020408163265,120000.0,11.63265306122449,196.6,21.632653061224488,36.0,,,,10938.775510204081,,26.0,76959.1836734694,,77265.30612244898,8.191836734693878,,,13.673469387755102,4659.183673469388,,,13.306122448979592,
1992-06-20,1992,6,20,20282111.28,25.71530612244898,162000.0,12.448979591836736,238.39999999999998,22.448979591836736,38.5,,,,10908.163265306122,,26.0,76438.77551020408,,76897.95918367348,8.187755102040816,,,15.510204081632654,4688.775510204082,,,15.459183673469386,
1992-06-21,1992,6,21,14300234.07,25.620408163265306,197000.0,13.26530612244898,280.2,23.26530612244898,41.0,,,,10877.551020408164,,26.0,75918.36734693877,,76530.61224489796,8.183673469387754,,,17.346938775510203,4718.367346938776,,,17.612244897959183,
1992-06-22,1992,6,22,9871932.327,25.525510204081634,216000.0,14.081632653061224,322.0,24.081632653061224,43.5,,,,10846.938775510203,,26.0,75397.95918367348,,76163.26530612246,8.179591836734692,,,19.183673469387756,4747.959183673469,,,19.76530612244898,
1992-06-23,1992,6,23,5908479.944,25.430612244897958,186000.0,14.89795918367347,302.0,24.89795918367347,46.0,,,,10816.326530612245,,26.0,74877.55102040817,,75795.91836734694,8.175510204081633,,,21.02040816326531,4777.551020408163,,,21.918367346938773,
1992-06-24,1992,6,24,5517027.856000001,25.335714285714285,190000.0,15.714285714285715,275.0,25.714285714285715,48.5,,,,10785.714285714286,,26.0,74357.14285714286,,75428.57142857143,8.17142857142857,,,22.857142857142858,4807.142857142857,,,24.07142857142857,
